cand,season,seg,agl,std_med,mvdr_med,d_med,std_f10,mvdr_f10,std_f5,mvdr_f5
A,2012,20121023_04,9220,17.8,15.4,-2.4,0.88,0.73,0.9,0.98
A,2009,20091020_06,10273,9.1,6.1,-3.0,0.45,0.33,0.96,0.64
B,2012,20121023_04,9220,14.8,19.2,4.4,0.79,0.86,0.86,0.96
B,2009,20091020_06,10273,15.2,10.9,-4.3,0.96,0.57,1.0,0.95
C,2012,20121023_04,9220,18.4,24.5,6.1,1.0,0.98,1.0,1.0
D,2012,20121023_04,9220,21.9,23.2,1.3,1.0,1.0,1.0,1.0
E,2012,20121023_04,9220,19.2,16.8,-2.4,1.0,0.99,1.0,1.0
E,2009,20091020_06,10273,8.5,6.6,-1.8,0.39,0.09,0.98,0.78
