s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
-7,-6,12598,262.55,210.26,0.047384,0.38684,xscan,0.063742,0.053566,0.049488,0.026247,0.045059,0.084216,0.15031,,1.2435,,0.62269,0,0.40523,powerlaw,0.56722,0.2267,28.416,2.2672e-05,0.73752,500,0.00054565,0.49145,2.9829,0.00017597,0.00054565,0.081443,powerlaw,29.813,powerlaw,32.201,0.33848,0.70096,0.045817,8.9021e-05,2.4536e-06,7.3204e-07,3.1035e-07
-6,-5,10297,259.86,199.7,0.042066,0.42092,xscan,0.066599,0.036241,0.046467,0.05506,0.079737,0.10248,0.17455,0,0.63976,2.0439,0.76504,0.55437,0.63713,powerlaw,0.68641,0.25457,22.009,2.2672e-05,0.9187,500,0.063583,0.47158,2.9432,0.00029956,0.063583,0.066976,powerlaw,20.432,powerlaw,25.573,0.42228,0.61157,0.03808,0.00015293,4.4216e-06,1.3407e-06,5.7492e-07
-5,-4,10542,202.7,208.62,0.060779,0.36679,xscan,0.022131,0.03274,0.072388,0.035351,0.049542,0.093148,0.13406,,0.68878,,0.51986,0.42451,0.5712,powerlaw,4.3822,0.20352,21.877,2.2672e-05,0.3316,83.16,0.00060557,0.35601,2.712,0.00035132,0.00052732,0.0724,powerlaw,14.146,powerlaw,27.019,0.25212,0.60027,0.049287,0.00018908,7.2207e-06,2.4044e-06,1.102e-06
-4,-3,17692,251.37,203.33,0.017463,0.32269,xscan,0.050449,0.035928,0.027516,0.032028,0.032095,0.060754,0.10508,,0,1.6161,0.63945,0.2912,0.3293,powerlaw,0.58821,0.17058,30.284,0.0058056,0.53385,500,0.00035166,0.50179,3.0036,8.7462e-05,0.00032959,0.059508,powerlaw,17.624,powerlaw,36.908,0.25099,0.71242,0.066886,4.4039e-05,1.1839e-06,3.5028e-07,1.4762e-07
-3,-2,16425,246.44,203.65,0.024435,0.36751,xscan,0.051593,0.035237,0.028102,0.031878,0.045296,0.073893,0.12973,0.74092,1.2191,4.1161,0.50161,0.34525,0.23783,powerlaw,7.9687,0.20274,30.037,0.0082394,0.61835,500,2.2672e-05,0.58926,3.1785,7.4074e-05,2.2672e-05,0.058525,powerlaw,7.2485,gaussian,34.762,0.15869,0.754,0.063803,3.5837e-05,7.8045e-07,2.151e-07,8.6201e-08
-2,-1,15305,246.91,197.37,0.034349,0.38619,xscan,0.051266,0.030916,0.034863,0.032539,0.046384,0.079778,0.13052,0.77284,0.84309,,0.44173,0.32089,0.31605,powerlaw,2.8923,0.2043,28.312,0.0073866,0.64839,500,0.0046039,0.55888,3.1178,9.6125e-05,0.0049691,0.06524,powerlaw,7.8544,powerlaw,30.732,0.16448,0.68774,0.059123,4.7155e-05,1.1049e-06,3.121e-07,1.2728e-07
-1,0,14716,236.48,208.5,0.040281,0.35794,xscan,0.042653,0.041515,0.037488,0.034498,0.046061,0.087067,0.14263,0.29423,1.1934,,0.45783,0.349,0.42273,powerlaw,0.52303,0.21499,26.602,0.00020856,0.70766,500,4.4699e-05,0.49725,2.9945,0.00015753,4.8352e-05,0.063491,powerlaw,24.547,powerlaw,30.063,0.33327,0.65882,0.059066,7.9486e-05,2.1604e-06,6.4155e-07,2.7108e-07
0,1,17788,238.6,228.25,0.03187,0.33889,xscan,0.050955,0,0.038384,0.026577,0.036575,0.062199,0.10134,,1.5741,0,0.95684,0,0.26429,powerlaw,0.6555,0.16429,28.472,0.0030589,0.53135,500,0.0029501,0.51259,3.0252,8.1914e-05,0.0029501,0.064289,powerlaw,8.1515,powerlaw,32.622,0.1413,0.69321,0.071585,4.1042e-05,1.075e-06,3.1529e-07,1.3205e-07
1,2,20200,239.16,239.6,0.011642,0.12146,xscan,0.041665,0.016333,0.026173,0.023484,0.024388,0.02642,0.027901,0.84121,1.3154,0.50614,1.1236,0.29798,0.28679,powerlaw,25.376,0.054486,4.1971,0.00020856,0.061652,5.9313,0.00020856,0.10541,2.2108,0.00010966,0.0041206,3.3908e-06,exponential,5.9333,powerlaw,15.343,0.05234,0.22035,0.080751,6.6177e-05,4.6208e-06,1.8854e-06,9.9814e-07
2,3,20273,242.76,250.32,0.013874,0.26303,xscan,0.050398,0,0.024913,0.024138,0.026724,0.047758,0.079749,,,0.40512,0.88658,0.45705,0.22941,powerlaw,5.4449,0.13538,33.768,0.029966,0.39921,500,0.026754,0.62255,3.2451,2.4245e-05,0.14199,0.063634,powerlaw,9.4191,gaussian,41.068,0.14217,0.8029,0.079608,1.1552e-05,2.3221e-07,6.2293e-08,2.4491e-08
3,4,19923,254.98,249.2,0.0057465,0.11224,xscan,0.049855,0.013797,0.016853,0.019032,0.02884,0.01598,0.033588,,0,1.2362,1.6152,0,0.53669,powerlaw,4.9796,0.052509,9.7752,0.0029501,0.062742,16.926,0.14199,0.20339,2.4068,6.5561e-05,0.029966,0.049373,gaussian,5.8111,powerlaw,18.419,0.06221,0.26852,0.074833,3.7833e-05,2.0865e-06,7.8632e-07,3.9346e-07
4,5,19771,259.53,253.82,0.01803,0.28649,xscan,0.04109,0.02593,0.02655,0.022996,0.024532,0.047256,0.087878,0,0.97557,1.6347,0.42,0.26704,0.33844,powerlaw,9.6713,0.15669,37.316,8.3864e-06,0.42574,500,0.00085274,0.62538,3.2508,2.774e-05,0.0092876,0.054145,powerlaw,17.392,powerlaw,43.502,0.15276,0.7719,0.07287,1.3201e-05,2.6355e-07,7.0539e-08,2.7688e-08
5,6,18325,255.88,266.4,0.025445,0.412,xscan,0.048228,0.01192,0.029572,0.031118,0.038138,0.075593,0.1315,,0.62254,2.1674,0.54957,0.20695,0.29228,powerlaw,13.265,0.21797,33.388,0.027651,0.60418,500,0.0019161,0.65855,3.3171,4.8031e-05,0.019055,0.05721,powerlaw,20.138,powerlaw,38.174,0.34837,0.78405,0.068581,2.2513e-05,4.1494e-07,1.0811e-07,4.1633e-08
6,7,18448,253.26,270.35,0.025007,0.40948,xscan,0.060525,0.032927,0.026331,0.028338,0.046858,0.069601,0.12629,0,0.55681,1.4254,0.84382,0,0.26883,powerlaw,11.913,0.21856,35.24,0.0058056,0.60351,500,0.00032959,0.64677,3.2935,4.971e-05,0.00032959,0.065204,powerlaw,14.386,powerlaw,43.528,0.24123,0.81454,0.070133,2.3426e-05,4.4419e-07,1.1684e-07,4.5302e-08
7,8,19224,257.31,263.39,0.020459,0.3742,xscan,0.0556,0.040095,0.0079657,0.028696,0.037715,0.067685,0.11719,0,0.95098,0.89598,0.56611,0.28995,0.27359,powerlaw,11.306,0.20239,35.993,0.0058056,0.54969,500,7.2013e-05,0.66667,3.3333,3.6326e-05,0.00035166,0.06046,powerlaw,21.289,powerlaw,39.935,0.34631,0.78731,0.071931,1.6964e-05,3.0661e-07,7.9362e-08,3.0419e-08
8,9,19898,256.02,266.09,0.016886,0.33842,xscan,0.053716,0.01535,0.021948,0.021245,0.033119,0.057201,0.10476,,0,3.3858,0.6478,0,0.3403,powerlaw,12.926,0.19945,42.596,1.3725e-05,0.48769,500,0.00032959,0.7172,3.4344,1.9711e-05,1.3725e-05,0.061715,powerlaw,32.618,powerlaw,48.066,0.47546,0.81352,0.074581,8.9947e-06,1.4395e-07,3.5764e-08,1.3315e-08
9,10,20489,251.72,274.08,0.015403,0.25176,xscan,0.043777,0.017026,0.020397,0.023771,0.030091,0.041118,0.071268,0,,1.0612,0.81694,0.29542,0.2982,powerlaw,4.1848,0.11982,30.554,1.4324e-05,0.37492,500,0.037878,0.5546,3.1092,3.2301e-05,0.037878,0.051508,powerlaw,7.9894,powerlaw,35.373,0.16063,0.67294,0.077945,1.5877e-05,3.7585e-07,1.0654e-07,4.3557e-08
10,11,20738,247.29,281.09,0.005052,0.12279,xscan,0.048831,0,0.028635,0.0082172,0.021179,0.024896,0.037796,0,0.70015,,1.139,0.64091,0.36072,powerlaw,3.1126,0.061196,20.396,0.00085274,0.086977,53.123,0.0096417,0.35592,2.7118,3.5206e-05,0.27347,0.053076,powerlaw,7.5967,powerlaw,31.917,0.13444,0.45782,0.080169,1.8948e-05,7.2378e-07,2.4103e-07,1.1047e-07
11,12,20942,244.27,293.06,0.020911,0.27596,xscan,0.037083,0,0.02659,0.018429,0.026694,0.045115,0.082729,1.3646,0.95427,0,0.99637,0.14636,0.25884,powerlaw,11.955,0.15213,38.886,0.00020856,0.39924,500,0.0030589,0.65543,3.3109,2.0221e-05,0.025769,0.050047,powerlaw,18.256,powerlaw,41.995,0.18413,0.75322,0.081565,9.4915e-06,1.7626e-07,4.6041e-08,1.7762e-08
12,13,21095,238.74,304.07,0.0090498,0.16825,xscan,0.044617,0.0006923,0.0097562,0.015823,0.021357,0.031961,0.049434,0,1.5542,6.6834,0.70893,0.57735,0.29483,powerlaw,0.67152,0.085596,30.642,0.03631,0.27312,500,0.026754,0.52481,3.0496,2.0037e-05,0.025769,0.05184,exponential,10.255,powerlaw,39.868,0.2437,0.71626,0.083813,9.9836e-06,2.5392e-07,7.3737e-08,3.0667e-08
13,14,21685,242.79,310.3,0.0089524,0.099264,xscan,0.046964,0,0.0096513,0.017165,0.022859,0.017223,0.027043,,0.20155,1.0454,0.99529,0.78886,0.51995,exponential,0.47017,0.0452,16.795,0.026754,0.060737,39.812,0.51169,0.36813,2.7363,1.9678e-05,0.58731,0.055433,powerlaw,8.2818,powerlaw,23.422,0.12029,0.39981,0.085049,7.4274e-06,2.0065e-07,5.9453e-08,2.5082e-08
14,15,21820,242.87,319.09,0.00901,0.07166,xscan,0.051158,0,0.018412,0.019534,0.014537,0.021398,0.013141,,,1.4368,1.2497,0.96609,0.41663,exponential,3.991,0.035361,7.3143,0.010799,0.039367,8.9174,0.71018,0.14542,2.2908,3.6369e-05,0.45735,0.05303,exponential,3.2666,exponential,9.3118,0.070001,0.21293,0.084687,1.3773e-05,3.7593e-07,1.1145e-07,4.7029e-08
15,16,21829,239.2,327.71,0.0080661,0.087826,xscan,0.039486,0,0.011208,0.020937,0.023083,0.023071,0.025242,1.7884,,0.6091,0.8789,1.6577,0.1486,exponential,0.026357,0.045882,10.792,0.0030589,0.053584,17.211,0.0041206,0.23784,2.4757,4.1386e-05,0.00094541,0.043926,exponential,8.8667,exponential,14.83,0.12565,0.33598,0.085583,1.3337e-05,3.6116e-07,1.0703e-07,4.5155e-08
16,17,21762,232.51,337.41,0.015449,0.17386,xscan,0.041998,0.021652,0.016193,0.019742,0.02297,0.034083,0.051454,,0.68243,0.63874,0.99771,0.52767,0.33359,powerlaw,1.3521,0.084237,25.877,0.00033878,0.29203,500,0.026754,0.45108,2.9022,3.3995e-05,0.0029501,0.049002,powerlaw,10.848,powerlaw,33.332,0.17117,0.61501,0.088485,1.7518e-05,5.3213e-07,1.6405e-07,7.1184e-08
17,18,22146,236.19,350.96,0.01249,0.13634,xscan,0.045308,0.0070359,0.002171,0.020627,0.015896,0.028193,0.041617,,1.9097,0,0.80791,0.76299,0.43682,powerlaw,1.3886,0.069067,26.553,0.019055,0.23812,500,0.10814,0.44658,2.8932,2.3275e-05,0.21583,0.053272,powerlaw,15.984,powerlaw,35.952,0.30715,0.61524,0.087954,1.2019e-05,3.6906e-07,1.1419e-07,4.9678e-08
