s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
-23,-22,12097,159.68,1591.3,0.0087514,0.21368,xscan,0.034403,0,0.024016,0.017401,0.035035,0.055407,0.10204,,0.95007,0.58293,0.57772,0.3813,0.27226,powerlaw,11.684,0.17242,36.207,0.0041206,0.46087,500,0.00020231,0.70973,3.4195,1.9267e-05,0.017303,0.052824,powerlaw,21.749,powerlaw,45.361,0.35886,0.83705,0.07027,8.8223e-06,1.4375e-07,3.5932e-08,1.3436e-08
-22,-21,21242,257.18,1594.5,0.0040912,0.11314,xscan,0.028914,0.011511,0.0077802,0.01695,0.018506,0.028497,0.036955,0.93047,,0.75177,0.79038,0.68279,0.32565,powerlaw,0.50182,0.064137,25.736,0.07314,0.22327,500,0.72751,0.48609,2.9722,1.6574e-05,0.72751,0.05211,powerlaw,9.7923,powerlaw,32.167,0.11647,0.62624,0.075543,8.4054e-06,2.3468e-07,7.0323e-08,2.9906e-08
-21,-20,21616,214.67,1589.3,0.0098329,0.073865,xscan,0.021904,0,0.02021,0.018519,0.019838,0.019878,0.024275,0.89059,1.0409,0.58692,1.1571,0.65782,0.49087,exponential,2.0941,0.040104,11.121,0.00052302,0.046091,16.812,0.36363,0.28353,2.5671,2.5253e-05,0.019055,0.05095,powerlaw,6.153,powerlaw,10.105,0.060851,0.14098,0.093532,1.01e-05,2.7355e-07,8.1064e-08,3.4201e-08
-20,-19,20960,314.61,1575,0.018588,0.077968,xscan,0.021821,0.014925,0.02175,0.014358,0.01842,0.014746,0.025822,,0.41934,0,1.123,0,0.68682,powerlaw,12.315,0.039348,5.3193,0.0030589,0.045767,9.8658,0.029966,0.10546,2.2109,5.6698e-05,0.14199,0.037438,powerlaw,6.93,powerlaw,8.3606,0.032536,0.1689,0.061486,3.4215e-05,2.3888e-06,9.7466e-07,5.1597e-07
-19,-18,21460,267.1,1552.7,0.024923,0.20664,xscan,0.028194,0.025723,0.027363,0.01805,0.023271,0.036906,0.068912,,0.75468,0,0.67683,0.34765,0.25497,powerlaw,0.73956,0.11024,30.671,5.1639e-06,0.3499,500,0.0061967,0.50358,3.0072,3.7078e-05,0.0061967,0.059398,powerlaw,31.097,powerlaw,30.964,0.15088,0.60612,0.07335,1.8654e-05,4.9934e-07,1.4752e-07,6.2109e-08
-18,-17,20980,262.79,1530.4,0.013954,0.31869,xscan,0.035953,0.028602,0,0.024623,0.031499,0.056301,0.10284,1.8641,0,0.42804,0.52287,0.36139,0.2784,powerlaw,9.6986,0.17886,38.241,0.00022882,0.46601,500,4.8352e-05,0.70869,3.4174,1.9513e-05,0.025769,0.056493,powerlaw,40.389,powerlaw,40.832,0.58244,0.77822,0.073178,8.9388e-06,1.4602e-07,3.6529e-08,1.3667e-08
-17,-16,14661,208.12,1521.7,0.043319,0.59977,xscan,0.013445,0.03213,0.044604,0.042623,0.072319,0.12728,0.21386,0.2146,1.4781,0.65086,0.47692,0.27401,0.31747,powerlaw,25.682,0.33711,30.152,0.00020231,0.9591,500,0.0096417,0.65697,3.3139,0.00012836,0.00020856,0.067227,powerlaw,25.384,gaussian,35.46,0.41068,0.81413,0.065097,6.0207e-05,1.1139e-06,2.906e-07,1.1201e-07
-16,-15,15131,213.53,1508.5,0.036773,0.63242,xscan,0.030398,0.016411,0.038752,0.044511,0.073126,0.13351,0.22882,,0.66925,0.71129,0.38048,0.30055,0.30157,powerlaw,23.5,0.38614,35.099,0.00020856,0.95927,500,0.00085274,0.75158,3.5032,7.1149e-05,0.00085274,0.067514,powerlaw,30.503,powerlaw,35.306,0.48401,0.79661,0.065887,3.1961e-05,4.7087e-07,1.1377e-07,4.1528e-08
-15,-14,20713,190.72,1512.8,0.025223,0.59085,xscan,0.032279,0.030949,0.025596,0.031852,0.057843,0.10953,0.19704,0.42598,0.068094,0.57464,0.44782,0.23487,0.27536,powerlaw,17.103,0.34729,39.301,8.9112e-06,0.80077,500,1.3588e-06,0.77404,3.5481,4.1122e-05,4.3562e-05,0.058495,powerlaw,37.018,powerlaw,41.656,0.6113,0.84312,0.099815,1.8284e-05,2.5518e-07,6.0544e-08,2.1816e-08
-14,-13,22014,204.34,1524.2,0.012717,0.27832,xscan,0.031521,0.019391,0.011556,0.020576,0.031226,0.05548,0.094633,0.89379,0.62499,0.5727,0.37696,0.38459,0.28906,powerlaw,16.032,0.15496,34.101,0.0041206,0.43463,500,0.00094541,0.69666,3.3933,1.8535e-05,0.013098,0.05324,powerlaw,25.531,powerlaw,34.258,0.32374,0.72229,0.098218,8.5376e-06,1.4356e-07,3.6267e-08,1.3663e-08
-13,-12,23295,334.1,1521.2,0.018122,0.32239,xscan,0.025,0.025261,0.019825,0.021695,0.032005,0.0615,0.10804,1.2743,0.99752,0,0.58292,0.28631,0.34721,powerlaw,12.129,0.18134,35.333,0.002054,0.49198,500,0.00013336,0.67059,3.3412,2.884e-05,0.00013336,0.05241,powerlaw,35.784,powerlaw,37.211,0.56759,0.75094,0.062939,1.3444e-05,2.4071e-07,6.2106e-08,2.3751e-08
-12,-11,22537,320.86,1494.7,0.020748,0.33327,xscan,0.030318,0.010132,0.024674,0.023782,0.037032,0.063229,0.11606,,1.1546,0,0.58283,0.25946,0.33239,powerlaw,12.33,0.18675,33.627,0.019055,0.52765,500,5.1639e-06,0.64996,3.2999,3.7539e-05,5.5775e-06,0.058562,powerlaw,33.84,powerlaw,38.959,0.55471,0.79515,0.063353,1.7664e-05,3.3238e-07,8.7207e-08,3.3749e-08
-11,-10,21806,239.44,1476.8,0.036009,0.17695,xscan,0.03053,0.027539,0.028814,0.024713,0.023198,0.037323,0.06072,0.3483,,0,0.81365,0.30373,0.37009,powerlaw,10.756,0.093145,21.241,0.00020856,0.11531,36.264,0.00022882,0.21014,2.4203,0.00014451,9.8943e-06,0.047281,powerlaw,23.047,powerlaw,22.794,0.17135,0.43128,0.084082,8.3135e-05,4.511e-06,1.6908e-06,8.4275e-07
-10,-9,21436,319.81,1442.8,0.017383,0.24757,xscan,0.023739,0.025978,0.023981,0.023037,0.035107,0.057722,0.088626,1.2539,1.5507,0.49673,0.66451,0.3058,0.44447,powerlaw,1.3415,0.13461,24.807,0.00012586,0.4621,500,0.00052302,0.50865,3.0173,6.3335e-05,0.00012586,0.053749,powerlaw,23.183,powerlaw,25.445,0.22053,0.5879,0.061535,3.179e-05,8.4064e-07,2.4734e-07,1.0383e-07
-9,-8,22097,310.93,1447.3,0.015936,0.20616,xscan,0.031443,0.01239,0.024756,0.021735,0.028805,0.044536,0.07561,0.52177,1.7085,0.41517,0.59972,0.37359,0.32851,powerlaw,2.6499,0.11774,27.505,4.8352e-05,0.38776,500,0.07314,0.53988,3.0798,3.7599e-05,0.07314,0.053105,powerlaw,12.711,powerlaw,28.202,0.10789,0.6014,0.065053,1.8605e-05,4.5634e-07,1.3091e-07,5.3974e-08
-8,-7,22805,363.46,1462.1,0.01266,0.085393,xscan,0.0381,0.019975,0.022038,0.017688,0.021695,0.020681,0.029091,0.44979,0.87463,1.4932,0.64041,0.94933,0.31653,powerlaw,6.3436,0.047236,7.8266,2.6672e-05,0.054091,11.456,0.00052302,0.16594,2.3319,6.1928e-05,0.048207,0.049446,powerlaw,5.2571,powerlaw,8.1048,0.059687,0.10848,0.057503,3.6353e-05,2.1941e-06,8.5237e-07,4.358e-07
-7,-6,22010,222.39,1471.4,0.0073034,0.14688,xscan,0.039663,0.0067959,0,0.018426,0.021571,0.036659,0.050952,,0,0.73629,0.45908,0.46559,0.42552,powerlaw,0.14573,0.081287,25.324,0.091874,0.28329,500,0.24495,0.47914,2.9583,2.7697e-05,0.15249,0.059481,powerlaw,20.253,powerlaw,29.763,0.317,0.63644,0.091013,1.4091e-05,4.0006e-07,1.2056e-07,5.1475e-08
-6,-5,20333,313.72,1455.8,0.026412,0.23094,xscan,0.032683,0.029102,0.0246,0.022578,0.029162,0.048966,0.077776,,0.47633,0.47554,0.59095,0.31687,0.4146,powerlaw,0.41722,0.12358,27.775,0.0011281,0.40936,500,4.4699e-05,0.50434,3.0087,5.0616e-05,4.4699e-05,0.060289,powerlaw,17.19,powerlaw,27.87,0.10086,0.58041,0.060805,2.5456e-05,6.8017e-07,2.0082e-07,8.4511e-08
-5,-4,21554,337.02,1446.5,0.0054576,0.092305,xscan,0.026902,0,0.015812,0.017708,0.019588,0.023091,0.032191,0,6.3187,0.80625,0.71426,0.62425,0.65416,powerlaw,1.3351,0.052006,18.595,0.14199,0.070511,43.738,0.14199,0.36346,2.7269,2.5554e-05,0.13716,0.050505,powerlaw,14.853,powerlaw,20.162,0.27191,0.33262,0.058597,1.3706e-05,5.1413e-07,1.7017e-07,7.7659e-08
-4,-3,21393,268.02,1452.7,0.016381,0.36365,xscan,0.048461,0,0.028012,0.02835,0.0484,0.077227,0.12448,0,1.2908,0.54297,0.55003,0.36015,0.35781,powerlaw,19.633,0.19191,27.721,0.0034147,0.60468,500,0.0034147,0.61571,3.2314,6.1333e-05,0.30077,0.062433,powerlaw,21.868,powerlaw,28.7,0.42624,0.66934,0.07304,2.9316e-05,5.9905e-07,1.616e-07,6.3783e-08
-3,-2,21493,188.09,1467.2,0.024086,0.56971,xscan,0.046997,0.021731,0.033009,0.039093,0.065277,0.11278,0.2026,,0.94758,0.60857,0.49517,0.30492,0.28688,powerlaw,22.746,0.32796,33.841,0.00022882,0.84872,500,4.3562e-05,0.71695,3.4339,6.9748e-05,0.0008243,0.060116,powerlaw,24.275,powerlaw,38.533,0.4467,0.81308,0.10552,3.1831e-05,5.0974e-07,1.2667e-07,4.7167e-08
-2,-1,22486,194.15,1471.6,0.018648,0.49961,xscan,0.030972,0.017771,0.024931,0.031863,0.051555,0.094955,0.16967,0.54338,0.60893,0.91407,0.41893,0.27848,0.28434,powerlaw,15.691,0.28117,35.704,2.6672e-05,0.70088,500,2.6672e-05,0.74718,3.4944,3.8308e-05,0.0019161,0.054261,powerlaw,29.491,powerlaw,37.988,0.50484,0.79692,0.10709,1.7243e-05,2.5674e-07,6.2253e-08,2.2781e-08
-1,0,22607,216.86,1475.7,0.0086618,0.29373,xscan,0.026443,0,0.017962,0.024999,0.033648,0.057586,0.095759,,0.3729,0.68829,0.45137,0.37259,0.307,powerlaw,18.251,0.15924,32.872,0.0066599,0.45045,500,0.013176,0.69359,3.3872,2.0817e-05,0.36363,0.051801,powerlaw,30.487,powerlaw,31.054,0.58117,0.6724,0.094424,9.6026e-06,1.6267e-07,4.1196e-08,1.5548e-08
0,1,22679,205.38,1472.7,0.004496,0.092225,xscan,0.016873,0.01487,0.011087,0.021401,0.022485,0.024337,0.03788,0.75058,,0.81732,0.68037,0.46127,0.49841,exponential,0.68293,0.05541,15.407,0.10101,0.068672,28.948,0.21583,0.33178,2.6636,3.5985e-05,0.20259,0.047285,powerlaw,4.5785,gaussian,17.93,0.084123,0.43201,0.10091,1.3051e-05,3.5274e-07,1.0452e-07,4.4095e-08
1,2,22659,202.37,1472.4,0.0094564,0.26716,xscan,0.02087,0.0098115,0.017842,0.021553,0.037406,0.053832,0.091173,1.3911,0,0.4744,0.55303,0.45634,0.36425,powerlaw,38.172,0.14098,28.482,4.4699e-05,0.43981,500,0.00094541,0.63802,3.276,2.8088e-05,0.14199,0.05113,powerlaw,21.06,powerlaw,28.915,0.38557,0.63289,0.1028,1.3289e-05,2.5735e-07,6.8179e-08,2.6567e-08
2,3,22829,237.45,1474.4,0.014189,0.42057,xscan,0.027233,0.014069,0.019631,0.028479,0.044744,0.080193,0.1352,0,,0.4888,0.55122,0.28533,0.30836,powerlaw,24.376,0.21472,31.76,0.0023659,0.59632,500,2.6672e-05,0.70284,3.4057,3.6398e-05,0.0061967,0.052196,powerlaw,26.777,powerlaw,31.889,0.48489,0.7178,0.08651,1.6719e-05,2.7698e-07,6.962e-08,2.6136e-08
3,4,22015,199.49,1480.5,0.023809,0.52127,xscan,0.041395,0.022097,0.029407,0.032157,0.057068,0.099384,0.17212,0.7963,0.37734,0.56737,0.46676,0.3228,0.28136,powerlaw,10.692,0.27045,32.119,0.0008243,0.7415,500,0.013098,0.71059,3.4212,5.3823e-05,0.026754,0.061182,powerlaw,25.425,powerlaw,32.205,0.448,0.736,0.10008,2.4635e-05,4.0058e-07,1.0006e-07,3.7395e-08
4,5,22352,175.7,1505.5,0.029557,0.46543,xscan,0.036048,0.03179,0.033385,0.029404,0.049562,0.084355,0.14982,1.6307,0.46686,0.36478,0.49331,0.29444,0.26379,powerlaw,23.463,0.24067,32.434,4.9732e-06,0.66845,500,0.00055802,0.67049,3.341,5.5699e-05,0.00052302,0.058684,powerlaw,24.802,powerlaw,31.411,0.34248,0.68471,0.11805,2.5965e-05,4.6501e-07,1.1999e-07,4.5891e-08
5,6,21898,188.12,1501.4,0.029365,0.41671,xscan,0.027645,0.027194,0.036282,0.030463,0.045422,0.080035,0.14232,1.3987,1.1145,0.18212,0.58612,0.23264,0.29795,powerlaw,4.8285,0.21663,28.903,0.00012586,0.6599,500,0.0023659,0.56566,3.1313,9.8058e-05,0.00012586,0.052866,powerlaw,21.583,powerlaw,30.107,0.1611,0.66837,0.10799,4.7954e-05,1.1054e-06,3.1054e-07,1.2615e-07
6,7,22173,192.56,1490.1,0.020584,0.35725,xscan,0.030952,0.014616,0.027595,0.026795,0.04268,0.06658,0.11668,,0.6191,0.49521,0.5426,0.35334,0.30112,powerlaw,31.72,0.18921,32.068,2.6672e-05,0.54158,500,0.61719,0.65296,3.3059,3.9701e-05,0.044888,0.054699,powerlaw,24.933,powerlaw,35.858,0.41972,0.7275,0.10682,1.8656e-05,3.4852e-07,9.1218e-08,3.5241e-08
7,8,21993,191.14,1512.9,0.02801,0.35211,xscan,0.034526,0.018414,0.032506,0.029173,0.041977,0.062722,0.11605,0,1.0919,0.21426,0.75546,0,0.30391,powerlaw,0.80625,0.17738,27.667,0.00015011,0.5718,500,5.5775e-06,0.49701,2.994,0.00010296,5.5775e-06,0.053616,powerlaw,17.352,powerlaw,31.857,0.2738,0.65573,0.1045,5.1958e-05,1.413e-06,4.1969e-07,1.7736e-07
8,9,22203,183.42,1535.9,0.018189,0.2441,xscan,0.02941,0.0071,0.027864,0.02699,0.035154,0.048576,0.07997,0.59077,1.2936,0,0.66514,0.35992,0.32629,powerlaw,4.6876,0.11762,21.489,4.9732e-06,0.25406,160.74,0.022075,0.42304,2.8461,8.4813e-05,0.0023659,0.048703,powerlaw,9.1256,powerlaw,24.8,0.16961,0.53188,0.11022,4.4269e-05,1.4386e-06,4.5371e-07,2.0008e-07
9,10,22293,218.35,1544.6,0.0051481,0.10612,xscan,0.021985,0.013165,0.01821,0.025811,0.028116,0.02581,0.034365,0.80483,1.2573,0.69229,0.88424,0.60091,0.58122,powerlaw,11.169,0.057482,8.5387,0.029966,0.067293,14.018,0.03631,0.19714,2.3943,8.1528e-05,0.51169,0.038269,powerlaw,5.9155,powerlaw,12.259,0.097559,0.273,0.093265,4.7181e-05,2.6415e-06,1.0005e-06,5.0245e-07
