s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
-7,-6,67837,317.36,1469.8,0.0065629,0.17561,same,0.01286,0.013956,0.015696,0.017092,0.022455,0.030217,0.052294,,0.73131,0.64332,0.98632,1.2809,1.2506,powerlaw,0.26047,0.062286,10.127,3.9768e-05,0.27899,500,0.010842,0.49688,2.9938,2.4603e-05,0.010842,0.015677,exponential,9.9074,powerlaw,4.0335,0.46441,0.2843,0.16375,1.2416e-05,3.3776e-07,1.0033e-07,4.2402e-08
-6,-5,71146,293.16,1454,0.022762,0.26957,same,0.01536,0.00844,0.026429,0.024379,0.028162,0.044613,0.081985,,0.78646,0,1.0479,1.2011,1.5519,powerlaw,18.076,0.073491,3.7417,6.3863e-06,0.13993,39.64,6.5921e-06,0.39239,2.7848,8.3807e-05,0.00020628,0.015677,powerlaw,1.8675,powerlaw,2.8621,0.29487,0.25185,0.18802,4.4361e-05,1.552e-06,5.0179e-07,2.2521e-07
-5,-4,72186,284.27,1446.6,0.0051445,0.073843,same,0.0072759,0.011127,0.017518,0.020519,0.025977,0.026955,0.025973,,0.71474,0.81914,0.84846,0.88456,1.9076,exponential,10.628,0.048573,5.4897,3.9768e-05,0.059537,16.832,6.5921e-06,0.39327,2.7865,2.9097e-05,7.0386e-06,0.015677,exponential,5.5609,exponential,5.0943,0.38164,0.30917,0.19816,1.6833e-05,4.5588e-07,1.351e-07,5.6998e-08
-4,-3,72809,311.44,1455.8,0.018557,0.26035,same,0.013965,0.020855,0.025359,0.026197,0.035119,0.051993,0.083368,,0.73188,0.56622,0.85043,1.0119,1.4361,powerlaw,8.6753,0.087253,5.6834,6.5921e-06,0.20224,85.224,3.7871e-05,0.45069,2.9014,7.9277e-05,0.00092114,0.015677,powerlaw,4.6511,powerlaw,3.8004,0.39833,0.30327,0.17858,4.086e-05,1.2423e-06,3.8311e-07,1.6628e-07
-3,-2,67894,320.97,1469.3,0.024768,0.43456,same,0.0081521,0.039597,0.034191,0.039852,0.069444,0.098413,0.16346,1.7234,0.5662,0.63609,0.60598,0.73542,0.6967,powerlaw,4.7337,0.16782,7.3733,6.3863e-06,0.787,500,0.011792,0.53093,3.0619,0.00018108,0.013998,0.015677,powerlaw,6.1356,powerlaw,5.1035,0.45639,0.3944,0.16468,8.9973e-05,2.2549e-06,6.5157e-07,2.7003e-07
-2,-1,72827,303.97,1471.5,0.020053,0.44691,same,0.019104,0.0371,0.024342,0.017189,0.044899,0.074983,0.14013,0.94651,0.5816,2.7406,0.79552,1.308,1.157,powerlaw,5.7758,0.1481,11.522,3.9768e-05,0.57541,500,0.013998,0.56959,3.1392,8.5782e-05,0.018264,0.015677,powerlaw,15.472,powerlaw,2.1181,0.59072,0.27001,0.19021,4.1875e-05,9.562e-07,2.6777e-07,1.0853e-07
-1,0,76960,296.7,1474.9,0.0098521,0.278,same,0.014225,0.022066,0.018899,0.018129,0.030247,0.046213,0.085804,6.2881,0.68999,1.3437,0.94836,1.4781,1.4478,powerlaw,5.5301,0.097201,12.337,3.9768e-05,0.38578,500,0.026482,0.55274,3.1055,3.9593e-05,0.00085628,0.015677,powerlaw,13.163,powerlaw,2.2143,0.56043,0.2415,0.20378,1.9477e-05,4.6316e-07,1.3149e-07,5.3814e-08
0,1,78226,300.42,1472.5,0.0049309,0.08817,same,0.011422,0.0078549,0.017409,0.019585,0.023685,0.02732,0.030923,,0.85418,0.95262,0.9147,1.1284,1.3487,exponential,17.99,0.049075,5.8055,0.00020628,0.064828,21.758,0.00085628,0.40555,2.8111,2.8275e-05,6.5921e-06,0.015677,exponential,6.483,exponential,4.5552,0.41216,0.28476,0.21,1.546e-05,4.1819e-07,1.2392e-07,5.2281e-08
1,2,78819,279.72,1471.4,0.0098874,0.24173,same,0.013752,0.019019,0.018993,0.020674,0.030913,0.042566,0.074402,1.3605,0.66454,1.25,0.86197,1.1027,1.5918,powerlaw,4.2987,0.086784,10.835,6.9465e-05,0.36735,500,0.0014157,0.53872,3.0774,3.7452e-05,0.019473,0.015677,powerlaw,10.869,powerlaw,2.7603,0.52658,0.26436,0.22974,1.8542e-05,4.5607e-07,1.3095e-07,5.4029e-08
2,3,78112,291.67,1473.2,0.017671,0.38057,same,0.017954,0.030112,0.024199,0.02217,0.039657,0.061334,0.10881,0.87359,0.59974,2.0394,0.99703,1.3476,2.4805,powerlaw,4.686,0.11724,10.015,3.9768e-05,0.49545,500,0.013998,0.55481,3.1096,6.6015e-05,0.0010702,0.015677,powerlaw,12.299,powerlaw,1.9718,0.57039,0.22498,0.21767,3.2444e-05,7.6768e-07,2.1757e-07,8.8939e-08
3,4,74174,283.47,1482.6,0.026983,0.42985,same,0.01896,0.035948,0.030482,0.020648,0.043938,0.070118,0.13018,1.0189,0.64422,1.68,0.74466,1.8938,1.248,powerlaw,1.1644,0.11579,5.5788,6.5921e-06,0.62475,500,0.00092114,0.47823,2.9565,0.00012888,0.00092114,0.015677,powerlaw,5.8588,powerlaw,1.7122,0.43764,0.21813,0.21159,6.5594e-05,1.8664e-06,5.6285e-07,2.4044e-07
4,5,76030,237.27,1508,0.027464,0.37238,same,0.019427,0.034295,0.033479,0.025158,0.03914,0.065501,0.1176,1.0361,0.81961,0.98478,0.78707,1.0228,1.1815,powerlaw,12.892,0.10043,3.481,6.3863e-06,0.21231,48.589,3.7871e-05,0.41069,2.8214,0.00015453,3.7871e-05,0.015677,powerlaw,2.2769,powerlaw,2.0512,0.31497,0.22239,0.2459,8.1117e-05,2.7156e-06,8.6506e-07,3.8419e-07
5,6,76905,276.28,1502.4,0.030438,0.32794,same,0.017864,0.027425,0.034231,0.03072,0.039106,0.063348,0.10871,2.0542,1.0521,0.37791,0.85921,0.74767,1.0117,powerlaw,21.476,0.096568,3.1557,6.3863e-06,0.1738,30.846,6.5921e-06,0.38862,2.7772,0.0001573,3.9768e-05,0.015677,powerlaw,1.8669,powerlaw,3.3519,0.28368,0.29899,0.21346,8.3408e-05,2.9448e-06,9.55e-07,4.2956e-07
6,7,79941,265.8,1490,0.021796,0.30031,same,0.016539,0.023753,0.026562,0.022925,0.033661,0.051149,0.088798,0.6608,0.90385,0.72087,0.85807,1.2346,1.5444,powerlaw,2.9688,0.083086,4.3304,5.5775e-06,0.1981,76.338,4.9732e-06,0.4557,2.9114,8.2474e-05,4.9732e-06,0.015677,powerlaw,2.9308,powerlaw,2.5685,0.35448,0.28701,0.23784,4.2411e-05,1.274e-06,3.9129e-07,1.6934e-07
7,8,79801,249.55,1512.5,0.028595,0.29004,same,0.014456,0.018411,0.033315,0.030059,0.032011,0.050105,0.085344,,0.86863,0.3326,0.98729,0.93071,1.3412,powerlaw,31.205,0.081237,2.4472,0.00020628,0.11819,14.418,7.0386e-06,0.33503,2.6701,0.00013691,0.00085628,0.015677,powerlaw,1.494,powerlaw,2.5798,0.23558,0.23502,0.2487,7.4397e-05,2.9884e-06,1.0122e-06,4.6953e-07
8,9,80921,245.72,1535.5,0.018847,0.25324,same,0.01586,0.018716,0.028023,0.02757,0.033095,0.048064,0.080822,3.4254,0.90638,0.73356,0.85891,0.97854,1.4407,powerlaw,24.628,0.080087,3.8242,6.3863e-06,0.1344,29.898,6.5921e-06,0.39575,2.7915,9.6376e-05,3.9768e-05,0.015677,powerlaw,2.3614,powerlaw,3.0729,0.30176,0.25492,0.24954,5.0936e-05,1.7677e-06,5.6997e-07,2.5532e-07
9,10,82365,280.73,1544.8,0.0059409,0.091745,same,0.01372,0.012253,0.020715,0.024436,0.02881,0.029335,0.03081,2.4255,0.95402,0.82424,0.94032,1.057,1.1131,exponential,28.082,0.055136,4.563,7.8093e-06,0.067622,14.499,3.7871e-05,0.37494,2.7499,4.2869e-05,6.5921e-06,0.015677,exponential,4.3824,exponential,4.595,0.35898,0.30084,0.22558,2.5181e-05,6.8268e-07,2.0232e-07,8.5361e-08
