s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
-33,-32,12889,260.28,2695.2,0.0041915,0.07252,xscan,0.038339,0,0.019277,0.026017,0.023423,0.025145,0,,,0.76935,0.98176,1.3721,,gaussian,0.66597,0.044682,5.4718,0.4552,0.049439,6.116,0.4552,0.083461,2.1669,7.3212e-05,0.0070146,1.3144e-05,exponential,5.3056,gaussian,5.4468,0.082273,0.098601,0.0473,3.4985e-08,4.3569e-60,2.1954e-131,3.3479e-231
-32,-31,20696,286.25,2692.2,0.0032363,0.066385,xscan,0.030956,0.010324,0.022172,0.025567,0.021963,0.024585,0.018249,0,0.84333,1.2474,1.0159,0.81505,0.67048,exponential,9.038,0.048012,4.6311,0.047918,0.053602,5.635,0.57447,0.11372,2.2274,7.9964e-05,0.096577,4.339e-06,exponential,5.4039,exponential,4.3645,0.09842,0.13984,0.068171,3.9701e-05,1.1012e-06,3.2676e-07,1.3793e-07
-31,-30,20947,255.95,2689.4,0.0028312,0.067135,xscan,0.033596,0.0079325,0.020827,0.024181,0.02825,0.021837,0.0088712,0,1.0456,0.8842,1.2677,0.87697,0,exponential,11.143,0.048503,4.3651,0.03631,0.053809,4.8634,0.26492,0.11055,2.2211,8.1155e-05,0.063161,3.3217e-06,exponential,6.1229,exponential,4.3124,0.092026,0.12596,0.078205,4.5893e-05,1.2846e-06,3.8138e-07,1.6101e-07
-30,-29,21348,266.79,2687.1,0.0023612,0.07144,xscan,0.03177,0.010512,0.018074,0.025209,0.024912,0.020812,0.016839,,0,1.1647,1.3611,0.28141,0.87717,exponential,9.8561,0.044984,5.2694,0.063161,0.049708,6.5002,0.87677,0.10089,2.2018,6.9232e-05,0.0029501,0.015902,gaussian,5.1771,exponential,5.1972,0.089016,0.11588,0.074908,2.9815e-05,8.215e-07,2.4368e-07,1.0284e-07
-29,-28,21202,265.95,2685.2,0.0031794,0.073969,xscan,0.040046,0.019158,0.018359,0.020357,0.029774,0.018589,0.015764,0,0.63429,2.082,1.4018,0.085966,0,exponential,1.0738,0.049101,3.37,0.0004661,0.055357,3.3476,0.026754,0.10456,2.2091,8.7862e-05,0.00146,3.3086e-06,gaussian,5.2382,powerlaw,8.9037,0.081965,0.086438,0.075199,6.7608e-05,1.9673e-06,5.8536e-07,2.4732e-07
-28,-27,21303,263.42,2681.6,0.0044909,0.07047,xscan,0.039156,0.014419,0.023999,0.020864,0.027876,0.016002,0.013808,,1.3743,0.54477,0.90742,1.1544,0,exponential,11.976,0.045517,4.9196,0.27347,0.050242,5.7274,0.25226,0.087884,2.1758,7.3976e-05,0.0030589,3.1832e-06,exponential,5.3639,exponential,7.2846,0.08347,0.099589,0.077068,3.4349e-05,9.5193e-07,2.8246e-07,1.1922e-07
-27,-26,21403,270.87,2677,0.0049598,0.071795,xscan,0.038398,0.023677,0.012747,0.025163,0.022317,0.022814,0.016824,0,1.1467,1.1718,1.3496,0.94923,0,exponential,2.37,0.047968,4.2388,0.005413,0.053459,4.5679,0.026754,0.09976,2.1995,8.3084e-05,8.8748e-05,5.4498e-06,gaussian,5.5284,powerlaw,9.3043,0.085073,0.10038,0.075619,4.7978e-05,1.3493e-06,4.007e-07,1.6918e-07
-26,-25,21359,286.75,2672.5,0.0043975,0.073316,xscan,0.036299,0,0.025418,0.021614,0.023698,0.021201,0.018736,1.4488,0.962,1.0981,1.4338,0,0.84784,exponential,4.1465,0.046255,5.0925,0.0029501,0.051316,6.3404,0.029966,0.09365,2.1873,7.5988e-05,0.063161,2.8174e-06,exponential,3.8369,powerlaw,6.1096,0.10011,0.12105,0.070831,3.2538e-05,8.9746e-07,2.6623e-07,1.1236e-07
-25,-24,21506,280.97,2668.9,0.0033608,0.070702,xscan,0.033791,0.020121,0.022112,0.01798,0.020405,0.024948,0.01274,0,1.3699,0.74433,1.5404,1.0681,0,exponential,1.9118,0.044814,4.3066,0.00094541,0.050019,5.1972,0.7813,0.093817,2.1876,7.3287e-05,0.51169,4.6336e-06,exponential,6.1535,powerlaw,6.2717,0.082465,0.10101,0.07294,3.7291e-05,1.0392e-06,3.0844e-07,1.302e-07
-24,-23,21557,264.59,2666.7,0.0022897,0.072933,xscan,0.032424,0.0077383,0.026372,0.020023,0.024152,0.016856,0.022621,2.6178,1.2635,0.73547,0.97813,0.69855,0.60309,exponential,5.4401,0.044364,4.9788,0.096577,0.04966,7.026,0.015242,0.12439,2.2488,6.452e-05,0.037878,0.026677,exponential,4.0182,powerlaw,6.4628,0.094867,0.11618,0.078128,2.7619e-05,7.5878e-07,2.2504e-07,9.4971e-08
